Ncpu,Nsim,Nchunk,Lpt,Tsim
16,4,256,300000,194.5
16,4,1024,300000,194.29
16,4,4096,300000,195.01
16,4,16384,300000,194.8
16,4,32768,300000,192.63
16,4,65536,300000,193.05
16,4,131072,300000,193.66
16,4,262144,300000,192.62
16,4,256,400000,197.39
16,4,1024,400000,197.41
16,4,4096,400000,196.6
16,4,16384,400000,194.34
16,4,32768,400000,196.06
16,4,65536,400000,194.44
16,4,131072,400000,197
16,4,262144,400000,195.68
16,4,256,500000,199.47
16,4,1024,500000,199.25
16,4,4096,500000,198.54
16,4,16384,500000,198.55
16,4,32768,500000,196.42
16,4,65536,500000,196.86
16,4,131072,500000,199.09
16,4,262144,500000,197.45
16,5,256,1000,208.51
16,5,1024,1000,212.61
16,5,4096,1000,207.87
16,5,16384,1000,208.55
16,5,32768,1000,207.68
16,5,65536,1000,207.67
16,5,131072,1000,207.47
16,5,262144,1000,206.84
16,5,256,10000,207.57
16,5,1024,10000,206.61
16,5,4096,10000,206.43
16,5,16384,10000,206.96
16,5,32768,10000,204.84
16,5,65536,10000,207.69
16,5,131072,10000,206.61
16,5,262144,10000,207.64
16,5,256,100000,210.4
16,5,1024,100000,209.34
16,5,4096,100000,209.85
16,5,16384,100000,209.13
16,5,32768,100000,209.13
16,5,65536,100000,209.29
16,5,131072,100000,207.96
16,5,262144,100000,209.07
16,5,256,200000,211.4
16,5,1024,200000,209.97
16,5,4096,200000,210.05
16,5,16384,200000,210.34
16,5,32768,200000,214.76
16,5,65536,200000,210.22
16,5,131072,200000,211.56
16,5,262144,200000,209.27
16,5,256,300000,214.2
16,5,1024,300000,214.45
16,5,4096,300000,219.71
16,5,16384,300000,212.9
16,5,32768,300000,212.37
16,5,65536,300000,213.41
16,5,131072,300000,214.09
16,5,262144,300000,214.31
16,5,256,400000,216.37
16,5,1024,400000,216.22
16,5,4096,400000,217.74
16,5,16384,400000,222.17
16,5,32768,400000,216.63
16,5,65536,400000,215.46
16,5,131072,400000,216.23
16,5,262144,400000,216.42
16,5,256,500000,219.02
16,5,1024,500000,222.32
16,5,4096,500000,218.94
16,5,16384,500000,219.49
16,5,32768,500000,218.12
16,5,65536,500000,218.73
16,5,131072,500000,219.68
16,5,262144,500000,219.21
32,1,256,1000,71.76
32,1,1024,1000,71.77
32,1,4096,1000,70.62
32,1,16384,1000,70.02
32,1,32768,1000,68.61
32,1,65536,1000,69.65
32,1,131072,1000,70.11
32,1,262144,1000,71.27
32,1,256,10000,69.51
32,1,1024,10000,69.84
32,1,4096,10000,67.55
32,1,16384,10000,68.11
32,1,32768,10000,66.27
32,1,65536,10000,64.24
32,1,131072,10000,69.94
32,1,262144,10000,68.71
32,1,256,100000,74.39
32,1,1024,100000,70.81
32,1,4096,100000,69.87
32,1,16384,100000,69.31
32,1,32768,100000,67.89
32,1,65536,100000,64.03
32,1,131072,100000,68.82
32,1,262144,100000,61.83
32,1,256,200000,80.26
32,1,1024,200000,71.45
32,1,4096,200000,65.81
32,1,16384,200000,67.45
32,1,32768,200000,68.61
32,1,65536,200000,67
32,1,131072,200000,68.28
32,1,262144,200000,66.85
32,1,256,300000,89.5
32,1,1024,300000,76.42
32,1,4096,300000,72.43
32,1,16384,300000,72.24
32,1,32768,300000,66.84
32,1,65536,300000,66.37
32,1,131072,300000,68.19
32,1,262144,300000,65.95
32,1,256,400000,98.3
32,1,1024,400000,83.63
32,1,4096,400000,74.48
32,1,16384,400000,73.21
32,1,32768,400000,72.8
32,1,65536,400000,74.07
32,1,131072,400000,73
32,1,262144,400000,72.66
32,1,256,500000,112.39
32,1,1024,500000,96.67
32,1,4096,500000,90.78
32,1,16384,500000,90.42
32,1,32768,500000,90.45
32,1,65536,500000,90.45
32,1,131072,500000,90.71
32,1,262144,500000,90.45
32,2,256,1000,72.56
32,2,1024,1000,74.05
32,2,4096,1000,73.08
32,2,16384,1000,72.93
32,2,32768,1000,72.7
32,2,65536,1000,71.31
32,2,131072,1000,71.67
32,2,262144,1000,71.56
32,2,256,10000,72.7
32,2,1024,10000,71.19
32,2,4096,10000,71.7
32,2,16384,10000,70.61
32,2,32768,10000,71.4
32,2,65536,10000,67.64
32,2,131072,10000,71.72
32,2,262144,10000,72.1
32,2,256,100000,70.28
32,2,1024,100000,72.42
32,2,4096,100000,69.49
32,2,16384,100000,71.92
32,2,32768,100000,71.52
32,2,65536,100000,70.27
32,2,131072,100000,71.02
32,2,262144,100000,72.08
32,2,256,200000,72.82
32,2,1024,200000,74.82
32,2,4096,200000,72.55
32,2,16384,200000,70.99
32,2,32768,200000,72.48
32,2,65536,200000,72.92
32,2,131072,200000,70.77
32,2,262144,200000,72.93
32,2,256,300000,77.03
32,2,1024,300000,74.54
32,2,4096,300000,73.62
32,2,16384,300000,73.78
32,2,32768,300000,73.91
32,2,65536,300000,73.53
32,2,131072,300000,73.95
32,2,262144,300000,73.44
32,2,256,400000,78.84
32,2,1024,400000,75.66
32,2,4096,400000,75.2
32,2,16384,400000,74.55
32,2,32768,400000,74.26
32,2,65536,400000,73.52
32,2,131072,400000,74.19
32,2,262144,400000,74.25
32,2,256,500000,83.23
32,2,1024,500000,75.62
32,2,4096,500000,76.09
32,2,16384,500000,74.59
32,2,32768,500000,75.79
32,2,65536,500000,75.08
32,2,131072,500000,75.68
32,2,262144,500000,75.21
32,3,256,1000,75.6
32,3,1024,1000,75.49
32,3,4096,1000,76.08
32,3,16384,1000,75.21
32,3,32768,1000,75.26
32,3,65536,1000,74.9
32,3,131072,1000,75.32
32,3,262144,1000,74.83
32,3,256,10000,75.81
32,3,1024,10000,74.41
32,3,4096,10000,73.78
32,3,16384,10000,74.19
32,3,32768,10000,74.04
32,3,65536,10000,74.23
32,3,131072,10000,75.49
32,3,262144,10000,73.82
32,3,256,100000,72.98
32,3,1024,100000,75.23
32,3,4096,100000,74.54
32,3,16384,100000,74.54
32,3,32768,100000,74.02
32,3,65536,100000,74.65
32,3,131072,100000,74.57
32,3,262144,100000,74.67
32,3,256,200000,77.33
32,3,1024,200000,75.93
32,3,4096,200000,75.84
32,3,16384,200000,75.61
32,3,32768,200000,75.26
32,3,65536,200000,74.95
32,3,131072,200000,75.59
32,3,262144,200000,75.03
32,3,256,300000,77.26
32,3,1024,300000,77.05
32,3,4096,300000,76.6
32,3,16384,300000,76.46
32,3,32768,300000,73.59
32,3,65536,300000,76.15
32,3,131072,300000,76.38
32,3,262144,300000,75.66
32,3,256,400000,78.78
32,3,1024,400000,78.94
32,3,4096,400000,77.87
32,3,16384,400000,77.1
32,3,32768,400000,77.09
32,3,65536,400000,77.35
32,3,131072,400000,77.13
32,3,262144,400000,77.18
32,3,256,500000,81.08
32,3,1024,500000,80.3
32,3,4096,500000,78.19
